Source,Target,Type,Id,Label,timeset,Weight
7760561,262577139,Directed,266,,,1
7760561,270315114,Directed,267,,,1
7760561,305195821,Directed,268,,,1
7760561,386475811,Directed,269,,,1
7760561,402188549,Directed,270,,,1
7877958,13493426,Directed,271,,,1
7877958,30868506,Directed,272,,,1
7877958,67239996,Directed,273,,,1
7877958,103900446,Directed,274,,,1
7877958,144596911,Directed,275,,,1
7877958,156763202,Directed,276,,,1
7877958,188870724,Directed,277,,,1
7877958,313046065,Directed,278,,,1
8640918,3782958,Directed,279,,,1
8640918,5010690,Directed,280,,,1
8640918,11227609,Directed,281,,,1
8640918,20030036,Directed,282,,,1
8640918,45862629,Directed,283,,,1
8640918,50421281,Directed,284,,,1
8640918,64971391,Directed,285,,,1
8640918,67239996,Directed,286,,,1
8640918,103900446,Directed,287,,,1
8640918,111698345,Directed,288,,,1
8640918,141954856,Directed,289,,,1
8640918,144596911,Directed,290,,,1
8640918,152780422,Directed,291,,,1
8640918,195983394,Directed,292,,,1
8640918,230662240,Directed,293,,,1
8640918,238708112,Directed,294,,,1
8640918,310516983,Directed,295,,,1
8640918,313046065,Directed,296,,,1
8640918,445656147,Directed,297,,,1
8761370,4336416,Directed,298,,,1
8761370,6023505,Directed,299,,,1
8761370,14704083,Directed,300,,,1
8761370,15753805,Directed,301,,,1
8761370,18326526,Directed,302,,,1
8761370,20476617,Directed,303,,,1
8761370,21245937,Directed,304,,,1
8761370,32996573,Directed,305,,,1
8761370,45862629,Directed,306,,,1
8761370,50646716,Directed,307,,,1
8761370,53679095,Directed,308,,,1
8761370,64971391,Directed,309,,,1
8761370,67239996,Directed,310,,,1
8761370,94735710,Directed,311,,,1
8761370,103378350,Directed,312,,,1
8761370,103773061,Directed,313,,,1
8761370,135832174,Directed,314,,,1
8761370,141954856,Directed,315,,,1
9096657,5252078,Directed,316,,,1
9096657,39300360,Directed,317,,,1
9096657,51088180,Directed,318,,,1
9096657,54458327,Directed,319,,,1
9096657,54773553,Directed,320,,,1
9096657,64280799,Directed,321,,,1
9096657,77665676,Directed,322,,,1
9096657,93414796,Directed,323,,,1
9096657,111618438,Directed,324,,,1
9096657,152780422,Directed,325,,,1
9096657,156763202,Directed,326,,,1
9096657,157526722,Directed,327,,,1
9096657,161246244,Directed,328,,,1
9096657,242463897,Directed,329,,,1
9096657,268087726,Directed,330,,,1
9096657,298612534,Directed,331,,,1
9096657,319046433,Directed,332,,,1
9925489,134644308,Directed,333,,,1
10456983,4336416,Directed,334,,,1
10456983,5400033,Directed,335,,,1
10456983,11629386,Directed,336,,,1
10456983,13400887,Directed,337,,,1
10456983,13493426,Directed,338,,,1
10456983,26702622,Directed,339,,,1
10456983,140113405,Directed,340,,,1
10456983,323551446,Directed,341,,,1
10456983,497631220,Directed,342,,,1
11227609,3782958,Directed,343,,,1
11227609,5010690,Directed,344,,,1
11227609,5252078,Directed,345,,,1
11227609,8640918,Directed,346,,,1
11227609,20030036,Directed,347,,,1
11227609,29361763,Directed,348,,,1
11227609,30868506,Directed,349,,,1
11227609,31429310,Directed,350,,,1
11227609,34597212,Directed,351,,,1
11227609,46986076,Directed,352,,,1
11227609,50421281,Directed,353,,,1
11227609,56859594,Directed,354,,,1
11227609,61099505,Directed,355,,,1
11227609,64280799,Directed,356,,,1
11227609,67239996,Directed,357,,,1
11227609,68129316,Directed,358,,,1
11227609,87539681,Directed,359,,,1
11227609,103900446,Directed,360,,,1
11227609,111698345,Directed,361,,,1
11227609,131694941,Directed,362,,,1
11227609,137992384,Directed,363,,,1
11227609,141468568,Directed,364,,,1
11227609,141954856,Directed,365,,,1
